No,Nama Laporan,Tgl Laporan,Tahun,Pengawas,Temuan,Resuma Kondisi,Rekomendasi,Kode Rekomendasi,Lead UKE II,Lead UKE I,UKE II (Koordinasi),UKE I (Koordinasi),Rencana Aksi,Deadline,Progress Pelaksanaan Rencana Aksi,Data Dukung (LinkPortal),Submit,Tgl Submit,Catatan Penyulut,Catatan Eksternal,Hasil Validasi Pengawasan,Status Penyelesaian
1,"29/LHP/XV/12/2021
LHP PDTT atas Sinkronisasi Perencanaan dan Penganggaran Nasional Tahun 2021

(Sinkronisasi Renggar 2021)",12/31/21,2021,BPK,"Kementerian PPN/Bappenas Belum Dapat Mengevaluasi Keterkaitan Pencapaian Target antar MP, ProP, KP, dan PP, serta Keterkaitan Dukungan Output K/L terhadap  Pencapaian Target Prioritas Nasional","a. Belum ada metodologi evaluasi untuk mengukur dampak dari ketercapaian suatu output K/L terhadap kenaikan/penurunan target nasional yang ingin diwujudkan.
b. Belum adanya pedoman teknis untuk mengevaluasi korelasi antara pencapaian dukungan output K/L dengan pencapaian sasaran nasional, maka penyebab dari tidak sinkronnya pencapaian dukungan output K/L dengan capaian prioritas nasional menjadi tidak dapat dijelaskan","BPK merekomendasikan kepada Menteri PPN/Bappenas agar merumuskan kriteria evaluasi untuk mengukur keterkaitan capaian, target PN, PP, KP, ProP dan MP dalam mendukung capaian sasaran pembangunan nasional dalam RKP.",LHP Sinkronisasi PDTT 2021_Rek_6,Dit. PEKS IV,Kedeputian PEMRP,,,"Output: 
1. Pedoman sebagai suplemen Permen PPN 1 (tidak dilegalkan sebagai dokumen legal). 
2. Juklak pelaksanaan evaluasi RKP 2025

Sesdep PEMRP akan mengecek apakah revisi pedoman evaluasi RKP 2025 yang sedang disusun oleh PEKS IV dapat disampaikan sebagai output penyelesaian rekomendasi ini.",TW IV 2026,,"Petunjuk Teknis Pengendalian dan Evaluasi Pelaksanaan RKP Tahun 2025 (Perkembangan Capaian Hingga Triwulan III)

Bukti Dukung 7. Rek 6 LHP Sinkronisasi PDTT 2021:
https://1drv.ms/f/c/2DB60B5FCEF3CA42/IgBIOgTPMi6MRrciWFQX5N31AfstrtYN1YJ5ICaXvVLuUwY?e=IdIonM",FALSE,,"Berdasarkan hasil rapat tanggal 22 dan 24 Januari 2025, rekomendasi 6 telah diusulkan sesuai. Namun jika tetap diperlukan bukti dukung, saat ini telah disusun petunjuk teknis pengendalian dan evaluasi RKP 2025.",,"Dapat Diusulkan Tuntas, Bukti Dukung Lengkap",Sedang Diusulkan Sesuai
14,"1/LHP/XV/02/2025

Efektivitas Perencanaan, Pemantauan dan Evaluasi PN 6 PP 3 Pembangunan Rendah Karbon Tahun 2023 s.d. Semester I Tahun 2024

(PN 6 PP 3 2024)",2/7/25,2025,BPK,Evaluasi Saat Pelaksanaan (On-Going) RKP PN6 - PP3 Pembangunan Rendah Karbon Belum Memadai,"PJ Prioritas Pembangunan PN dan PJ Proyek Prioritas Strategis (Major Project) di
Kementerian PPN/Bappenas belum optimal dalam menyampaikan hasil evaluasi saat
pelaksanaan RKP kepada K/L terkait.",c.        PJ Prioritas Pembangunan PN di Kementerian PPN/Bappenas untuk lebih optimal dalam menyampaikan hasil evaluasi saat pelaksanaan RKP kepada K/L terkait.,LHP PN 6 PP 3 Pembangunan Rendah Karbon  Tahun 2023 sd Semester 1 Tahun 2024_Rek_4.c,Dit. PEKS IV,Kedeputian PEMRP,,,"Agar sektor menyiapkan hasil evaluasi capaian Renja kepada mitra K/L atau K/L pengampu PN

Telah disampaikan hasil evaluasi pembangunan tahun 2024 mencakup evaluasi RKP 2024 dan pemutakhiran evaluasi RPJMN 2020-2024 kepada seluruh UKE di Bappenas. Kedepan, untuk hasil evaluasi RKP 2025 juga akan disampaikan kepada UKE di Bappenas.",TW II 2026,,"1. ND Deputi PEMRP Nomor 209/ME.02.02/10/2025 perihal Penyampaian Hasil Evaluasi Pelaksanaan Pembangunan (RPJMN 2020-2024 dan RKP 2024)
2. Surat Deputi PEMRP Nomor T-25402/Dt.10/ME.02.01/12/2025 perihal Penyampaian Laporan Evaluasi RKP Tahun 2025 (Perkembangan Capaian Hingga Triwulan III)

Bukti Dukung:
https://1drv.ms/f/c/2DB60B5FCEF3CA42/IgBIOgTPMi6MRrciWFQX5N31AfstrtYN1YJ5ICaXvVLuUwY?e=IdIonM",FALSE,,#NAME?,,"Dalam proses, bukti dukung sebagian/tidak ada",Dalam Proses
19,"3/LHP/XV/02/2023 

Efektivitas Pengelolaan Belanja Negara Tahun anggaran 2021 dan 2022 dalam Rangka Mendukung Pencapaian Tujuan Sistem Perencanaan Pembangunan Nasional

(Efektivitas Belanja 2023)",2/20/23,2023,BPK Kemenkeu,Monitoring evaluasi kinerja anggaran dan pembangunan belum optimal untuk memastikan validitas serta akurasi pelaporan capaian output,"Belum adanya pengaturan yang tegas mengenai kewajiban K/L untuk melaporkan data capaian output serta data capaian indikator sasaran PN-PP-KP-ProP-MP melalui aplikasi yang dikembangkan oleh Kementerian PPN/Bappenas secara periodik, tepat waktu dan valid","a.  Menteri PPN/Kepala Bappenas agar menyusun dan menetapkan peraturan yang mengharuskan K/L melaporkan data capaian output serta data capaian indikator sasaran PN–PP–KP–ProP–MP melalui aplikasi yang dikembangkan oleh Kementerian PPN/Bappenas secara periodik, tepat waktu dan valid; dan",LHP Efektivitas Belanja TA 2022_Rek_8.a,Dit. PEKS IV,Kedeputian PEMRP,,,"Tahun 2025 tidak perlu tindak lanjut karena menunggu hasil analisis BPK karena sudah diajukan untuk usul tuntas pada semester I tahun 2024. Namun demikian, apabila usulan ditolak oleh BPK, maka rekomendasi ini perlu diselesaikan pada periode selanjutnya. 

Dokumen yang telah disampaikan berupa:
a. Juklak Sesmen PPN No 1 Tahun 2024 tentang Evaluasi Pelaksanaan RPJM
b. Juklak Sesmen PPN No 2 Tahun 2024 tentang Pemantauan, Pengendalian, dan Evaluasi Pelaksanaan Rencana Pembangunan Tahunan
Kedua juklak telah di sosialisasikan kepada K/L 
",TW IV 2026,,,TRUE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
20,"3/LHP/XV/02/2023 

Efektivitas Pengelolaan Belanja Negara Tahun anggaran 2021 dan 2022 dalam Rangka Mendukung Pencapaian Tujuan Sistem Perencanaan Pembangunan Nasional

(Efektivitas Belanja 2023)",2/20/23,2023,BPK Kemenkeu,"Hasil Pengawasan serta Pelaporan dan Pertanggungjawaban Kinerja Pembangunan Belum Memadai untuk Mendukung Perbaikan Perencanaan Penganggaran Periode Selanjutnya 



",Kementerian PPN/Bappenas belum menetapkan mekanisme dan batas waktu evaluasi kinerja pembangunan agar dapat digunakan secara optimal dalam pemutakhiran reviu angka dasar serta pelaporan kinerja Pemerintah Pusat;,a. Menteri PPN/Kepala Bappenas agar menyusun dan menetapkan Mekanisme dan batas waktu evaluasi kinerja pembangunan agar dapat digunakan secara optimal dalam pemutakhiran reviu angka dasar serta pelaporan kinerja Pemerintah Pusat;,LHP Efektivitas Belanja TA 2022_Rek_10.a,Dit. PEKS IV,Kedeputian PEMRP,Dit. SMR,Kedeputian PEMRP,"1. Revisi PP 39/2006
2. Dapat disampaikan output atas serangkaian kegiatan dalam langkah penyempurnaan regulasi yang ada (PP 39/2006 dan Permen 1/2023), serta detil pasal terkait konsep mekanisme dan batas waktu evaluasi kinerja pembangunan

- Saat ini telah disusun petunjuk teknis pengendalian dan evaluasi RKP 2025 teridiri dari (1) Petunjuk Teknis Pengendalian dan Evaluasi Pelaksanaan RKP Tahun 2025 (Perkembangan Capaian Hingga Triwulan III); serta (2) Petunjuk Teknis Evaluasi RKP Tahun 2025 (Pencapaian Prioritas Pembangunan Hingga Triwulan IV).

- Hasil evaluasi RKP telah disampaikan: 
1. sebagai masukan penyusunan tema dan penekanan RKP Tahun 2027 melalui Bahan Paparan Deputi PEMRP pada Rapat Pimpinan Kementerian PPN/Bappenas terkait dengan Penyusunan RKP Tahun 2027;
2. dalam rangka mendorong pemanfaatan hasil evaluasi untuk perbaikan pelaksanaan dan perencanaan berikutnya melalui penyampaian Laporan Evaluasi RKP Tahun 2025 (Perkembangan Capaian Hingga Triwulan III) melalui Surat Deputi Bidang PEMRP kepada K/L Koordinator serta para PJ di lingkup Kementerian PPN/Bappenas terkait pencapaian Sasaran Utama Pembangunan, Prioritas Nasional, dan Program Prioritas Presiden (Surat Deputi PEMRP Nomor T-25402/Dt.10/ME.02.01/2025 tanggal 31 Desember 2025);
3. sebagai masukan perencanaan dan penganggaran TA 2027 melalui Nota Dinas Deputi PEMRP kepada seluruh Deputi di lingkup Kementerian PPN/Bappenas (Nota Dinas Deputi PEMRP Nomor 13/PP.04.03/01/2026 tanggal 29 Januari 2026). Dalam memperkuat pemanfaatan hasil evaluasi sebagai bahan masukan tinjau ulang angka dasar penganggaran dan fokus perencanaan, Deputi PEMRP juga telah mengundang secara khusus Deputi Pembiayaan dan Investasi Pembangunan serta Deputi Perencanaan Makro Pembangunan (Nota Dinas Deputi PEMRP Nomor 08/ME.02.01/01/2026 tanggal 23 Januari 2026) untuk pembahasan langsung atas hasil evaluasi ",TW II 2026,,"Petunjuk Teknis Pengendalian dan Evaluasi Pelaksanaan RKP Tahun 2025 (Perkembangan Capaian Hingga Triwulan III)

Bukti Dukung 3. Rek 10a LHP Efektivitas Belanja 2022:
https://1drv.ms/f/c/2DB60B5FCEF3CA42/IgBIOgTPMi6MRrciWFQX5N31AfstrtYN1YJ5ICaXvVLuUwY?e=IdIonM",FALSE,,,BPK:  Menunggu selesainya pengesahan RPerpres SAKP akan ditindaklanjuti dengan perubahan peraturan turunannya dalam hal ini Permen Bappenas tentang pengendalian dan evaluasi kinerja.,"Dalam proses, bukti dukung sebagian/tidak ada",Dalam Proses
21,"3/LHP/XV/02/2023 

Efektivitas Pengelolaan Belanja Negara Tahun anggaran 2021 dan 2022 dalam Rangka Mendukung Pencapaian Tujuan Sistem Perencanaan Pembangunan Nasional

(Efektivitas Belanja 2023)",2/20/23,2023,BPK Kemenkeu,"Hasil Pengawasan serta Pelaporan dan Pertanggungjawaban Kinerja Pembangunan Belum Memadai untuk Mendukung Perbaikan Perencanaan Penganggaran Periode Selanjutnya 
",Kementerian PPN/Bappenas belum memiliki mekanisme untuk mengukur kontribusi K/L terhadap capaian indikator sasaran PN serta penyampaian hasil evaluasi Renja K/L secara lengkap dan tepat waktu,b. Menteri PPN/Kepala Bappenas agar menyusun dan menetapkan: Mekanisme untuk mengukur kontribusi K/L terhadap capaian indikator sasaran PN serta penyampaian hasil evaluasi Renja K/L secara lengkap dan tepat waktu; dan,LHP Efektivitas Belanja TA 2022_Rek_10.b,Dit. PEKS IV,Kedeputian PEMRP,,,"Tahun 2025 tidak perlu tindak lanjut karena menunggu hasil analisis BPK karena sudah diajukan untuk usul tuntas pada semester I tahun 2025. Namun demikian, apabila usulan ditolak oleh BPK, maka rekomendasi ini perlu diselesaikan pada periode selanjutnya. 

Dokumen yang telah disampaikan berupa:
- Pedoman Evaluasi Kinerja K/L Pendukung PN 2023
- Laporan Evaluasi Kinerja K/L Pendukung PN 2023",TW IV 2026,,,TRUE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
23,"3/LHP/XV/02/2023 

Efektivitas Pengelolaan Belanja Negara Tahun anggaran 2021 dan 2022 dalam Rangka Mendukung Pencapaian Tujuan Sistem Perencanaan Pembangunan Nasional

(Efektivitas Belanja 2023)",2/20/23,2023,BPK Kemenkeu,Pemberian Penghargaan dan Pengenaan Sanksi kepada K/L Belum Didukung dengan Data yang Valid dan Komprehensif serta Peraturan Pelaksanaan yang Lengkap dan Jelas,Kementerian PPN/Bappenas dan Kementerian Keuangan belum menyusun dan menetapkan mekanisme pemanfaatan hasil evaluasi kinerja pembangunan setiap K/L sebagai dasar pemberian penghargaan atau pengenaan sanksi kepada K/L,a. Menteri Keuangan agar berkoordinasi dengan Menteri PPN/Kepala Bappenas untuk menyusun dan menetapkan mekanisme pemanfaatan hasil evaluasi kinerja pembangunan setiap K/L sebagai dasar pemberian penghargaan atau pengenaan sanksi kepada K/L; dan,LHP Efektivitas Belanja TA 2022_Rek_11.a,Dit. PEKS IV,Kedeputian PEMRP,,,"Tahun 2025 tidak perlu tindak lanjut karena menunggu hasil analisis BPK karena sudah diajukan untuk usul tuntas pada semester II tahun 2024. Namun demikian, apabila usulan ditolak oleh BPK, maka rekomendasi ini perlu diselesaikan pada periode selanjutnya. 

Dokumen/Narasi yang telah disampaikan berupa:
Pada penyusunan Perpres RPJMN 2025-2029 telah disusun mekanisme pemanfaatan hasil Evaluasi Kinerja K/L/D Pendukung Prioritas Nasional, yang diharapkan akan menjadi salah satu komponen penilaian dalam pemberian insentif dan penghargaan kepada Kementerian/Lembaga dan Daerah",TW IV 2026,,,TRUE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
24,"117/LHP/XV/12/2018 

LHP Efektivitas Pengelolaan Belanja Pemerintah Pusat Yang Berkualitas Dalam Kerangka Penganggaran Berbasis Kinerja Tahun 2017 s.d. Semester I 2018
 
 (Belanja Berkualitas)",12/31/18,2018,BPK Kemenkeu,"Pengendalian atas Pencapaian Target Output Prioritas Nasional, Penandaan (tagging) Output Prioritas Nasional serta Pelaksanaan Revisi Anggaran Belum Memadai","a. Kementerian PPN/Bappenas belum melakukan monitoring atas pengurangan target volume output Prioritas Nasional di tahun 2017 
b. Penandaan output Prioritas Nasional belum sesuai dengan hasil pembahasan dalam Trilateral Meeting (TM) 
","BPK merekomendasikan kepada:
a. Menteri PPN/Kepala Bappenas agar melakukan monitoring dan evaluasi atas realisasi capaian target volume Output PN setiap tahun berjalan dan menggunakan hasil monitoring dan evaluasi tersebut dalam menetapkan target volume output PN di tahun-tahun berikutnya; dan",Belanja_Berkualitas_2018_Rek 3.a,Dit. PEKS IV,Kedeputian PEMRP,,,"Telah disampaikan hasil evaluasi pembangunan tahun 2024 mencakup evaluasi RKP 2024 dan pemutakhiran evaluasi RPJMN 2020-2024 kepada seluruh UKE di Bappenas. Kedepan, untuk hasil evaluasi RKP 2025 juga akan disampaikan kepada UKE di Bappenas.",TW IV 2026,,"1. ND Deputi PEMRP Nomor 209/ME.02.02/10/2025 perihal Penyampaian Hasil Evaluasi Pelaksanaan Pembangunan (RPJMN 2020-2024 dan RKP 2024)
2. Surat Deputi PEMRP Nomor T-25402/Dt.10/ME.02.01/12/2025 perihal Penyampaian Laporan Evaluasi RKP Tahun 2025 (Perkembangan Capaian Hingga Triwulan III)

Bukti Dukung 15. Rek 3a LHP Belanja Berkualitas 2018:
https://1drv.ms/f/c/2DB60B5FCEF3CA42/IgBIOgTPMi6MRrciWFQX5N31AfstrtYN1YJ5ICaXvVLuUwY?e=IdIonM",FALSE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
25,"117/LHP/XV/12/2018 

LHP Efektivitas Pengelolaan Belanja Pemerintah Pusat Yang Berkualitas Dalam Kerangka Penganggaran Berbasis Kinerja Tahun 2017 s.d. Semester I 2018
 
 (Belanja Berkualitas)",12/31/18,2018,BPK Kemenkeu,"Terdapat  Pelaksanaan Anggaran Belanja Belum Tepat Waktu, Tepat Jumlah dan Tepat Sasaran","a. Pelaksanaan Anggaran Belanja belum dilakukan secara tepat jumlah:
1) Target yang ditetapkan dalam dokumen perencanaan dan penganggaran tidak tercapai;
2) Output pelaksanaan anggaran belanja belum/tidak dimanfaatkan sesuai dengan yang direncanakan 
b. Pelaksanaan anggaran belanja belum dilakukan secara tepat sasaran:
1) Output hasil pelaksanaan belanja belum didistribusikan secara tepat sasaran
2) Hasil pelaksanaan belanja tidak sesuai klasifikasi anggaran belanja



",b. Menteri PPN/Kepala Bappenas agar melakukan monitoring atas aspek ketepatan sasaran dan pemanfaatan output program dan kegiatan untuk meningkatkan efektivitas pelaksanaan belanja mulai RKP Tahun 2019,Belanja_Berkualitas_2018_Rek 8.b,Dit. PEKS IV,Kedeputian PEMRP,,,"Tahun 2025 tidak perlu tindak lanjut karena menunggu hasil analisis BPK karena sudah diajukan untuk usul tuntas pada semester I tahun 2024. Namun demikian, apabila usulan ditolak oleh BPK, maka rekomendasi ini perlu diselesaikan pada periode selanjutnya. 

Dokumen/Narasi yang telah disampaikan berupa:
1. Evaluasi pelaksanaan RKP yang dilakukan Kementerian PPN/Bappenas, salah satunya mencakup evaluasi kinerja efektivitas pelaksanaan
sasaran prioritas pembangunan untuk melihat bagaimana ketepatan pencapaian indikator sasaran dalam mencapai target yang telah ditetapkan pada dokumen RKP. 
2. Berkaitan dengan pemanfaatan hasil evaluasi: 
a. Pada tanggal 13 Februari 2024 telah disampaikan Hasil Evaluasi Pelaksanaan Pembangunan sebagai bahan pertimbangan dalam perencanaan dan penganggaran RKP dan Renja K/L tahun selanjutnya kepada seluruh Direktorat Sektor di Kementerian PPN/Bappenas (selaku mitra K/L). Hasil evaluasi tersebut telah mencakup capaian indikator pembangunan nasional (termasuk indikator yang sulit tercapai), serta indikasi RO perlu perhatian. 
b. Sebagai tindak lanjut rapat/pertemuan tersebut, telah disampaikan Nota Dinas Tindak Lanjut Pemanfaatan Hasil Evaluasi Pelaksanaan Pembangunan untuk mendorong pemanfaatan  hasil evaluasi dalam proses perencanaan dan penganggaran tahun 2025, utamanya dalam proses penelaahan/reviu  baseline K/L dan penyusunan pagu indikatif tahun 2025 oleh Direktorat Sektor di Kementerian PPN/Bappenas (selaku Mitra K/L). ",TW IV 2026,,,TRUE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
26,"117/LHP/XV/12/2018 

LHP Efektivitas Pengelolaan Belanja Pemerintah Pusat Yang Berkualitas Dalam Kerangka Penganggaran Berbasis Kinerja Tahun 2017 s.d. Semester I 2018
 
 (Belanja Berkualitas)",12/31/18,2018,BPK Kemenkeu,Peraturan Terkait Monitoring dan Evaluasi Belanja Berkualitas Belum Terharmonisasi Secara Memadai,"Pengaturan monitoring dan evaluasi belanja berkualitas belum menyediakan kerangka kerja yang memadai antara evaluasi kinerja pembangunan dan evaluasi kinerja anggaran
","BPK merekomendasikan kepada:
a. Menteri PPN/Kepala Bappenas bersama Menteri Keuangan merumuskan proses dan pemanfaatan hasil monitoring dan evaluasi yang dilaksanakan masing-masing pihak dalam rangka mendukung penyusunan tema, sasaran, arah kebijakan, dan prioritas pembangunan",Belanja_Berkualitas_2018_Rek 9.a,Dit. PEKS IV,Kedeputian PEMRP,,,"Tahun 2025 tidak perlu tindak lanjut karena menunggu hasil analisis BPK karena sudah diajukan untuk usul tuntas pada semester II tahun 2023. Namun demikian, apabila usulan ditolak oleh BPK, maka rekomendasi ini perlu diselesaikan pada periode selanjutnya. 

Dokumen/Narasi yang telah disampaikan berupa:
Pasal 5 ayat (1), (2) dan (3) PP No.17/2017 :

(1) Dalam rangka persiapan penyusunan perencanaan dan penganggaran pembangunan nasional dilaksanakan evaluasi kinerja pembangunan dan anggaran tahun sebelumnya serta kebijakan tahun berjalan. 

(2) Evaluasi sebagaimana dimaksud pada ayat (1) dilakukan oleh Menteri Keuangan dan Menteri perencanaan Pembangunan Nasional secara bersama-sama sesuai tugas dan fungsi masingmasing. 

(3) Hasil evaluasi sebagaimana dimaksud pada ayat (2) dibahas bersama untuk bahan penyusunan tema, Sasaran, Arah Kebijakan, dan prioritas pembangunan tahunan yang direncanakan. 
Penentuan tema juga sudah dilakukan melalui koordinasi antara Kementerian PPN/Bappenas dengan Kementerian Keuangan dalam rapat koordinasi 

Berkaitan dengan penyusunan Tema RKP, telah dilakukan berdasarkan masukan dari hasil evaluasi pelaksanaan pembangunan. Pada penyusunan tema RKP 2024, telah disampaikan usulan alternatif tema berdasarkan hasil Evaluasi RKP 2022.

Sementara itu, pada tahun 2023 Dit. PEPPS akan menyusun rumusan usulan Tema RKP 2025, terutama berdasarkan hasil Evaluasi RKP 2023, serta evaluasi lainnya seperti 2023, Evaluasi Paruh Waktu RPJMN 2020-2024, dan Evaluasi Pelaksanaan Janji Presiden. 

Adapun untuk proses perumusan bersama antara Bappenas dan Kemenkeu akan dilaksanakan oleh Dit.EP4 selaku Koordinator Penyusunan RKP.",TW IV 2026,,,TRUE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
29,"117/LHP/XV/12/2018 

LHP Efektivitas Pengelolaan Belanja Pemerintah Pusat Yang Berkualitas Dalam Kerangka Penganggaran Berbasis Kinerja Tahun 2017 s.d. Semester I 2018
 
 (Belanja Berkualitas)",12/31/18,2018,BPK Kemenkeu,Pemerintah Pusat Belum Mempertanggungjawabkan 78 Indikator Sasaran Prioritas Nasional Tahun 2017 dan Satu Indikator Sasaran Pembangunan Tahun 2017 pada Laporan Kinerja Pemerintah Pusat Tahun 2017,"Laporan Evaluasi Rencana Kerja Pemerintah Tahun 2017 belum mencakup seluruh indikator Prioritas Nasional yang terdapat pada RKP Tahun 2017 
","BPK merekomendasikan kepada:
a. Menteri PPN/Kepala Bappenas agar:
1) Melakukan pemetaan atas cascading indikator yang ditetapkan dalam RKP ke dalam Renja-K/L setiap tahun serta mendokumentasikan pemetaan tersebut di tahun-tahun berikutnya;",Belanja_Berkualitas_2018_Rek 11.a.1),Dit. PEKS IV,Kedeputian PEMRP,,,"Tahun 2025 tidak perlu tindak lanjut karena menunggu hasil analisis BPK karena sudah diajukan untuk usul tuntas pada semester II tahun 2023. Namun demikian, apabila usulan ditolak oleh BPK, maka rekomendasi ini perlu diselesaikan pada periode selanjutnya. 

Dokumen yang telah disampaikan berupa:
1. Pemutakhiran RKP Tahun 2022 
2. Pemutakhiran RKP Tahun 2023
3. Hasil Pemetaan hubungan indikator RKP

",TW IV 2026,,,TRUE,,,,Menunggu Hasil Validasi Eksternal,Sedang Diusulkan Sesuai
